ID,2014,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative total capacity_TG,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,Lithium polymer battery,Lithium polymer battery,Lithium polymer battery,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,Lithium-ion battery,Lithium-ion battery,Lithium-ion battery,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,Lithium polymer battery,Lithium polymer battery,Lithium polymer battery,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,4.0,4.0,4.0,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,360.0,400.0,400.0,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,90,100,100,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
Lithium-ion battery_Cumulative total capacity_TG,360.0,400.0,400.0,Lithium-ion battery,Togo,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,TG
