ID,1951,1957,1966,1975,1976,1979,1982,1983,1986,1987,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_FR,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,,,,,,,,,,,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,11000,48000,240000,310000,800000,480000,910000,445000,748000,1820000,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
Pumped hydro storage_Cumulative total capacity_FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,France,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,FR
